user_id,acct_type,acct_number,balance,date_created,max_limit
151,checking,3578942213012601,70967.24,2020-08-01,23061.07
359,saving,633110806308206445,63157.14,2020-01-01,86364.43
343,saving,3566595898051536,36810.20,2019-10-01,25924.67
205,checking,3545257253194395,37518.33,2020-04-11,10550.58
58,checking,3536383642588039,42406.61,2020-05-16,55277.21
335,saving,3576737850104287,37994.32,2020-01-13,13636.31
405,saving,5100131644951080,64474.54,2020-04-23,16320.74
290,checking,3580210465627674,1056.75,2019-12-06,51520.85
321,ceditcard,4405779508405018,46456.84,2020-01-14,51709.59
2,checking,3579427508710878,80657.49,2019-11-18,89747.74
204,checking,30494758599277,32037.95,2019-12-23,54416.45
426,saving,3558867567899168,50641.90,2020-01-08,92258.04
420,checking,5100179280065772,50310.52,2020-05-20,70394.55
450,checking,6759718093778052913,79623.63,2020-01-06,68509.29
277,ceditcard,5602245040561500,36061.87,2020-05-30,2594.95
73,ceditcard,201794307944376,55510.25,2020-01-29,49737.86
10,checking,676188339999666673,33794.91,2020-07-08,61175.15
64,checking,4913261442097867,602.73,2019-12-13,84609.75
68,checking,3530189700931151,72870.37,2019-12-01,80053.85
65,saving,3548567179119160,80245.57,2020-02-01,28359.98
458,checking,3548157796875533,93830.92,2019-09-06,41175.93
122,saving,3535814738331810,74074.23,2020-06-16,45682.43
169,ceditcard,3573657140865682,58851.66,2019-12-01,2887.26
230,checking,5247820062622157,33977.20,2020-08-29,90804.65
249,checking,676751257296872637,58936.76,2020-08-19,82171.33
440,checking,6379039468140676,75306.33,2019-12-01,14792.36
352,checking,3545033639876389,53306.58,2020-07-01,65898.89
34,ceditcard,3586167271743562,84648.11,2020-05-24,90298.13
223,saving,6762715689438191582,36163.20,2020-07-09,15497.76
52,saving,3554832616679858,86982.30,2019-11-06,57886.36
450,ceditcard,3575692515266719,85349.15,2019-10-09,85013.60
206,ceditcard,5271765000986413,10166.14,2020-04-28,12168.34
432,checking,201939970113854,30315.43,2020-03-22,56021.08
291,checking,374283401710686,60539.46,2020-02-14,64629.05
486,checking,561003097693739678,1729.14,2020-07-07,98319.04
438,saving,374622796830718,84802.44,2020-07-02,50863.89
124,checking,36292803257717,84883.01,2020-04-12,34741.03
71,ceditcard,564182754522858544,75658.56,2020-08-27,55344.11
191,checking,5497831256158129,78150.20,2020-08-07,94672.83
191,saving,6331102228178033483,8523.87,2020-03-24,13557.87
373,saving,3585824003041779,21502.70,2020-05-22,83035.81
